,outletID,Subway Station,Tobacco Outlet Address,ZIP,Important Notes,Images (Y/N),Quality (Y/N),Quality (Y/N) Comments ,Name,Borough,name_1,Cons 1,numerator green_1,denom_all_1,Non-cons 1,numerator all_1,denom_all_1.1,name_2,Cons 2,numerator green_2,denom_all_2,Non-cons 2,Num_All_2,denom_all_2.1,Name*,Cons*,Num_Green,Denom_All,Non-cons*,Num_All,Denom_All.1,outlet_id,subway_station_x,address_x,borough_x,zip_x,ftp_visible_x,black and mild_x,bm_quantity_x,bm_flavor_x,bm_pkgclr_x,entourage_x,e_quantity_x,e_flavor_x,e_pkgclr_x,blunt wraps_x,bw_quantity_x,bw_flavor,bw_pkgclr_x,zig zag_x,zz_quantity_x,zz_flavor_x,zz_pkgclr_x,show_x,sh_quantity_x,sh_flavor_x,sh_pkgclr_x,swisher sweets_x,ss_quantity_x,ss_flavor_x,ss_pkgclr_x,hype_x,hy_quantity_x,hy_flavor_x,hy_pkgclr_x,d'ville_x,dv_quantity_x,dv_flavor_x,dv_pkgclr_x,game_x,gm_quantity_x,gm_flavor_x,gm_pkgclr_x,other_x,other_quantity_x,other_flavor_x,other_pkgclr_x,unidentifiable_brand_x,issues_x,subway_station_y,address_y,borough_y,zip_y,ftp_visible_y,black and mild_y,bm_quantity_y,bm_flavor_y,bm_pkgclr_y,entourage_y,e_quantity_y,e_flavor_y,e_pkgclr_y,blunt wraps_y,bw_quantity_y,bw_flavors,bw_pkgclr_y,zig zag_y,zz_quantity_y,zz_flavor_y,zz_pkgclr_y,show_y,sh_quantity_y,sh_flavor_y,sh_pkgclr_y,swisher sweets_y,ss_quantity_y,ss_flavor_y,ss_pkgclr_y,hype_y,hy_quantity_y,hy_flavor_y,hy_pkgclr_y,d'ville_y,dv_quantity_y,dv_flavor_y,dv_pkgclr_y,game_y,gm_quantity_y,gm_flavor_y,gm_pkgclr_y,other_y,other_quantity_y,other_flavor_y,other_pkgclr_y,unidentifiable_brand_y,issues_y
182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189,Kosciuszko St. (J),854 BUSHWICK AVE Brooklyn NY 11221,BK,11221.0,y,n,,,,y,1.0,palma,,y,1.0,dp kush,,y,4.0,"straight up, pink, blue, purple",,n,,,,n,,,,n,,,,y,1.0,gold,,n,,,,backwoods,2.0,sweet aromatic,,,,Kosciuszko St. (J),854 BUSHWICK AVE Brooklyn NY 11221,BK,11221.0,Y,N,,,,Y,1.0,PALMA,,N,,,,Y,4.0,,"BLUE, PURPLE, 2 BROWN",N,,,,N,,,,N,,,,Y,1.0,GOLD,,N,,,,N,,,,,
183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190,"Steinway St. (E,M,R)",4005 BROADWAY Queens NY 11103,QN,11103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"Steinway St. (E,M,R)",4005 BROADWAY Queens NY 11103,QN,11103.0,N,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,,
184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191,"Westchester Sq - E Tremont, 6 train",3305 EAST TREMONT Bronx NY 10461,BX,10461.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"Westchester Sq - E Tremont, 6 train",3305 EAST TREMONT Bronx NY 10461,BX,10461.0,N,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,,
185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192,"Westchester Sq - E Tremont, 6 train",36 WESTCHESTER SQ Bronx NY 10461,BX,10461.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"Westchester Sq - E Tremont, 6 train",36 WESTCHESTER SQ Bronx NY 10461,BX,10461.0,N,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,,
186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193,"125 St, 1 train",3145 AMSTERDAM AV Manhattan NY 10027,MN,10027.0,n,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,,,,,,,"125 St, 1 train",3145 AMSTERDAM AV Manhattan NY 10027,MN,10027.0,N,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,,
187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195,"125 St, 1 train",467 W 125th St Manhattan NY 10027,MN,10027.0,y,n,,,,y,16.0,palma,,y,3.0,"dp kush, dp purple, dp zero",,y,3.0,straight up,,y,7.0,"cream, white grape, og kush, poco loco, ba boom, show buzz, tropical twist",,n,,,,y,3.0,"silver, purple wave",,n,,,,n,,,,"backwoods, bluntville",4.0,"sweet aromatic, pink diva",,,,"125 St, 1 train",467 W 125th St Manhattan NY 10027,MN,10027.0,Y,N,,,,Y,16.0,PALMA,,Y,3.0,"PURPLE, GREEN, SILVER",,N,,,,Y,8.0,"OG KUSH,",,N,,,,Y,3.0,PURPLE,,N,,,,N,,,,N,,,,,
188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,"125 St, 1 train",545 W 125TH ST Manhattan NY 10027,MN,10027.0,y,n,,,,y,1.0,palma,,y,7.0,"dp zero, dp purple, dp poco loco, dp tata, dp sweet",,y,4.0,"blue, purple, straight up, pink",,y,4.0,"og kush, tropical twistas, sweet, ba boom",,n,,,,y,5.0,"sweet, purple wave, blue mystiq, tropical",,n,,,,n,,,,"bluntville, backwoods",4.0,"blue, piff, pink diva, sweet aromatic",,,,"125 St, 1 train",545 W 125TH ST Manhattan NY 10027,MN,10027.0,N,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,,
189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197,"161 St - Yankee Stadium, 4, B & D train",876 GERARD AVE Bronx NY 10452,BX,10452.0,y,n,,,,y,1.0,palma,,y,1.0,dp kush,,y,2.0,"straight up, blue",,y,6.0,"tata, poco loco, buzz, white grape, ba boom, og kush",,n,,,,y,3.0,"summer love, purple wave, tropical",,n,,,,n,,,,"backwoods, dutch masters",6.0,"sweet aromatic, palma",,,,"161 St - Yankee Stadium, 4, B & D train",876 GERARD AVE Bronx NY 10452,BX,10452.0,Y,N,,,,Y,1.0,PALMA,,N,,,,N,,,,Y,6.0,,"YELLOW, ORANGE, GREEN, RED/GREEN, SILVER , UNID",N,,,,Y,3.0,PURPLE WAVE,"GREEN/PINK, BROWN",Y,2.0,gold,,N,,,,N,,,,,
190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198,"161 St - Yankee Stadium, 4, B & D train",901 WALTON AVE Bronx NY 10452,BX,10452.0,y,n,,,,n,,,,y,2.0,dp kush,blue/silver,y,3.0,"purple, straight up",,y,3.0,sweet,,n,,,,n,,,,n,,,,y,3.0,,black,backwoods,1.0,sweet aromatic,,,,"161 St - Yankee Stadium, 4, B & D train",901 WALTON AVE Bronx NY 10452,BX,10452.0,Y,N,,,,N,,,,N,,,,N,,,,Y,3.0,,UNID,N,,,,N,,,,N,,,,Y,3.0,,UNID,N,,,,,
191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199,"176 St, 4 train",21 W 176TH ST Bronx NY 10453,BX,10453.0,n,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,,,,,,,"176 St, 4 train",21 W 176TH ST Bronx NY 10453,BX,10453.0,N,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,,
