,Unnamed: 0,Unnamed: 0.1,outletID,Subway Station,Tobacco Outlet Address,ZIP,Important Notes,Images (Y/N),Quality (Y/N),Quality (Y/N) Comments ,Name,Borough,name_1,Cons 1,numerator green_1,denom_all_1,Non-cons 1,numerator all_1,denom_all_1.1,name_2,Cons 2,numerator green_2,denom_all_2,Non-cons 2,Num_All_2,denom_all_2.1,Name*,Cons*,Num_Green,Denom_All,Non-cons*,Num_All,Denom_All.1,outlet_id,subway_station_x,address_x,borough_x,zip_x,ftp_visible_x,black and mild_x,bm_quantity_x,bm_flavor_x,bm_pkgclr_x,entourage_x,e_quantity_x,e_flavor_x,e_pkgclr_x,blunt wraps_x,bw_quantity_x,bw_flavor,bw_pkgclr_x,zig zag_x,zz_quantity_x,zz_flavor_x,zz_pkgclr_x,show_x,sh_quantity_x,sh_flavor_x,sh_pkgclr_x,swisher sweets_x,ss_quantity_x,ss_flavor_x,ss_pkgclr_x,hype_x,hy_quantity_x,hy_flavor_x,hy_pkgclr_x,d'ville_x,dv_quantity_x,dv_flavor_x,dv_pkgclr_x,game_x,gm_quantity_x,gm_flavor_x,gm_pkgclr_x,other_x,other_quantity_x,other_flavor_x,other_pkgclr_x,unidentifiable_brand_x,issues_x,subway_station_y,address_y,borough_y,zip_y,ftp_visible_y,black and mild_y,bm_quantity_y,bm_flavor_y,bm_pkgclr_y,entourage_y,e_quantity_y,e_flavor_y,e_pkgclr_y,blunt wraps_y,bw_quantity_y,bw_flavors,bw_pkgclr_y,zig zag_y,zz_quantity_y,zz_flavor_y,zz_pkgclr_y,show_y,sh_quantity_y,sh_flavor_y,sh_pkgclr_y,swisher sweets_y,ss_quantity_y,ss_flavor_y,ss_pkgclr_y,hype_y,hy_quantity_y,hy_flavor_y,hy_pkgclr_y,d'ville_y,dv_quantity_y,dv_flavor_y,dv_pkgclr_y,game_y,gm_quantity_y,gm_flavor_y,gm_pkgclr_y,other_y,other_quantity_y,other_flavor_y,other_pkgclr_y,unidentifiable_brand_y,issues_y,geo22,lon,lat
73,73,73,74.0,"Westchester Sq - E Tremont, 6 train ", 91 WESTCHESTER SQ Bronx NY 10461,10461.0,,Y,Y,Y,Rachel,BX,RL,20-Jul,7.0,20.0,23-Jul,7.0,23.0,SA,Aug-41,8.0,41.0,21/41,21.0,41,JP,Dec-40,12.0,40.0,14/40,14.0,40.0,74,"Westchester Sq - E Tremont, 6 train",91 WESTCHESTER SQ Bronx NY 10461,BX,10461.0,y,n,,,,y,2.0,palma,,n,,,,y,1.0,straight up,,n,,,,n,,,,n,,,,y,5.0,"gold, black, pink",,n,,,,"dutch masters, backwoods",4.0,"palma, sweet aromatic",,,5,"Westchester Sq - E Tremont, 6 train",91 WESTCHESTER SQ Bronx NY 10461,BX,10461.0,N,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,,,"[40.8409475, -73.8425742]", -73.8425742,40.8409475
74,74,74,75.0,"Westchester Sq - E Tremont, 6 train ",2748 E TREMONT AVE Bronx NY 10461,10461.0,CVS,Y,Y,Y,Rachel,BX,JP,49/220,49.0,220.0,55/220,55.0,220.0,AV,45/200,45.0,225.0,54/225,54.0,225,,,,,,,,75,"Westchester Sq - E Tremont, 6 train",2748 E TREMONT AVE Bronx NY 10461,BX,10461.0,n,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,,,,,,,"Westchester Sq - E Tremont, 6 train",2748 E TREMONT AVE Bronx NY 10461,BX,10461.0,N,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,,,"[40.8417985, -73.8445253]", -73.8445253,40.8417985
75,75,75,76.0,"Westchester Sq - E Tremont, 6 train ",55 WESTCHESTER SQ Bronx NY 10461,10461.0,walgreens,Y,Y,Y,Rachel,BX,JP,52/240,52.0,240.0,62/240,62.0,240.0,RL,40/219,40.0,219.0,45/219,45.0,219,,,,,,,,76,"Westchester Sq - E Tremont, 6 train",55 WESTCHESTER SQ Bronx NY 10461,BX,10461.0,n,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,,,,,,,"Westchester Sq - E Tremont, 6 train",55 WESTCHESTER SQ Bronx NY 10461,BX,10461.0,N,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,,,"[40.8416648, -73.84305499999999]", -73.84305499999999,40.8416648
76,76,76,77.0,"Westchester Sq - E Tremont, 6 train ",134 WESTCHESTER SQUARE Bronx NY 10461,10461.0,Vendor empty,Y,Y,Y,,BX,JP,0/15,0.0,15.0,0/15,0.0,15.0,SA,12-Aug,8.0,12.0,12-Aug,8.0,12,,,,,,,,77,"Westchester Sq - E Tremont, 6 train",134 WESTCHESTER SQUARE Bronx NY 10461,BX,10461.0,n,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,,,,,,,"Westchester Sq - E Tremont, 6 train",134 WESTCHESTER SQUARE Bronx NY 10461,BX,10461.0,N,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,,,"[40.8406438, -73.84202410000002]", -73.84202410000002,40.8406438
77,77,77,78.0,"Westchester Sq - E Tremont, 6 train ",15 WESTCHESTER SQ Bronx NY 10461,10461.0,partially blocked by vendor,Y,Y,Y,,BX,RL,0/12,0.0,12.0,0/10,0.0,10.0,SA,16-Apr,4.0,16.0,16-May,5.0,16,JP,14-Apr,4.0,14.0,14-Apr,4.0,14.0,78,"Westchester Sq - E Tremont, 6 train",15 WESTCHESTER SQ Bronx NY 10461,BX,10461.0,n,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,,,,,,,"Westchester Sq - E Tremont, 6 train",15 WESTCHESTER SQ Bronx NY 10461,BX,10461.0,N,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,,,"[40.8403026, -73.8436293]", -73.8436293,40.8403026
78,78,78,79.0,"125 St, 1 train",3137 BROADWAY Manhattan NY 10027,10027.0,,Y,Y,Y; good pictures,Sally,MN,RL,13/34,12.0,34.0,15/34,15.0,34.0,SS,Dec-35,12.0,35.0,15/35,15.0,35,SA,15/35,15.0,35.0,16/35,16.0,35.0,79,"125 St, 1 train",3137 BROADWAY Manhattan NY 10027,MN,10027.0,y,n,,,,y,1.0,palma,,n,,,,y,2.0,straight up,,n,,,,n,,,,n,,,,y,1.0,black,,n,,,,"bluntville, dutch masters",21.0,palma,,,,"125 St, 1 train",3137 BROADWAY Manhattan NY 10027,MN,10027.0,Y,N,,,,Y,1.0,PALMA,,N,,,,N,,,,N,,,,N,,,,N,,,,Y,2.0,"VANILLA, PINK",,N,,,,N,,,,,,"[40.8137519, -73.9600492]", -73.9600492,40.8137519
79,79,79,80.0,"125 St, 1 train",3189 BROADWAY Manhattan NY 10027,10027.0,,Y,Y,Y; acceptable,Sally,MN,SA,31/140,31.0,140.0,39/140,39.0,140.0,SS,27/131,27.0,131.0,32,32.0,131,,,,,,,,80,"125 St, 1 train",3189 BROADWAY Manhattan NY 10027,MN,10027.0,y,n,,,,y,5.0,"palma, le prive, black don, connosieur",,n,,,,y,6.0,"pink, blue, purple, straight up",,n,,,,n,,,,n,,,,y,1.0,gold,,y,3.0,"red, green, blue",,"white owl, cloud 9, bluntville, dutch masters, backwoods, cloud 9 bandlands",7.0,"green sweets, silver, sweets, palma, piff, sweet aromatic, sweet",,,,"125 St, 1 train",3189 BROADWAY Manhattan NY 10027,MN,10027.0,N,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,,,"[40.8155093, -73.9587729]", -73.9587729,40.8155093
80,80,80,81.0,"125 St, 1 train",3161 BROADWAY Manhattan NY 10027,10027.0,,Y,Y,Y; acceptable,Sally,MN,SA,14-Aug,8.0,14.0,14-Aug,8.0,14.0,SS,25-Sep,9.0,25.0,25-Oct,10.0,25-Jan,,,,,,,,81,"125 St, 1 train",3161 BROADWAY Manhattan NY 10027,MN,10027.0,y,n,,,,y,16.0,palma,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,"bluntville, backwoods, dutch masters",33.0,"palma, piff, pink diva, sweet aromatic, palma",,79.0,,"125 St, 1 train",3161 BROADWAY Manhattan NY 10027,MN,10027.0,Y,Y,2.0,"ORANGE, BROWN",,Y,20.0,"PALMA(16), PINK(4)",,N,,,,N,,,,N,,,,N,,,,N,,,,Y,22.0,"VANILLA(18), PINK(4)",,N,,,,N,,,,10,,"[40.8148961, -73.9593332]", -73.9593332,40.8148961
81,81,81,82.0,"125 St, 1 train",568 W 125TH ST Manhattan NY 10027,10027.0,cigarette counter cut off/pharmacy,Y,Y,Y; good pictures,Sally,MN,RL,37/195,37.0,195.0,49/195,49.0,195.0,SS,37/199,37.0,199.0,50/199,50.0,199,,,,,,,,82,"125 St, 1 train",568 W 125TH ST Manhattan NY 10027,MN,10027.0,n,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,,,,,,,"125 St, 1 train",568 W 125TH ST Manhattan NY 10027,MN,10027.0,N,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,,,"[40.8149471, -73.9580453]", -73.9580453,40.8149471
82,82,82,83.0,"125 St, 1 train",566 W 126TH ST Manhattan NY 10027,10027.0,,Y,Y,Y; acceptable,Sally,MN,SA,30-Aug,8.0,30.0,14/30,14.0,30.0,SS,24-Aug,8.0,24.0,24-Aug,8.0,24,,,,,,,,83,"125 St, 1 train",566 W 126TH ST Manhattan NY 10027,MN,10027.0,y,n,,,,y,2.0,"palma, pink duchess",,n,,,,y,2.0,straight up,,y,9.0,"tata, white grape, buzz, sweet, ba boom, poco loco",,n,,,,n,,,,y,1.0,gold,,n,,,,bluntville,3.0,"palma, palma trio, pink diva",,,,"125 St, 1 train",566 W 126TH ST Manhattan NY 10027,MN,10027.0,Y,N,,,,Y,4.0,"PALMA, PINK",,N,,,,N,,,,Y,9.0,,9 UNID,N,,,,Y,2.0,"XOTIC LUSH, PURPLE",,Y,4.0,"PINK, BLACK, GOLD, VANILLA",,N,,,,N,,,,,,"[40.816064, -73.9576325]", -73.9576325,40.816064
83,83,83,84.0,"125 St, 1 train",501 W 125TH ST Manhattan NY 10027,10027.0,,Y,Y,Y; acceptable,Sally,MN,SA,Sep-40,9.0,40.0,Sep-40,9.0,40.0,SS,12-Sep,9.0,12.0,24-Oct,10.0,12,,,,,,,,84,"125 St, 1 train",501 W 125TH ST Manhattan NY 10027,MN,10027.0,y,n,,,,n,,,,y,5.0,"tata, sweet, purple, ","brown/green, white/silver",y,7.0,"straight up, pink, blue, purple",,y,7.0,"white grape, sweet, poco loco, og kush, ba boom, tata, buzz",,n,,,,y,5.0,"silver, white grape, blue mystique, purple wave, sweet",,n,,,,n,,,,"rock n roll, backwoods",5.0,"sweet, blue, sweet aromatic",,1.0,,"125 St, 1 train",501 W 125TH ST Manhattan NY 10027,MN,10027.0,Y,N,,,,N,,,,N,,,,Y,4.0,"PURPLE, PINK. BLUE, STRAIGH UP",,Y,8.0,,"ORANGE/BLACK, GREEN/YELLOW,YELLOW/RED,GREEN/BLACK",N,,,,N,,,,N,,,,N,,,,N,,,,,,"[40.8137882, -73.9563908]", -73.9563908,40.8137882
84,84,84,85.0,"125 St, 1 train",3149 BROADWAY Manhattan NY 10027,10027.0,bad images,Y,N,,,MN,SA,14-Apr,4.0,14.0,14-May,5.0,14.0,SS,14-Mar,3.0,14.0,14-Apr,4.0,14,,,,,,,,85,"125 St, 1 train",3149 BROADWAY Manhattan NY 10027,MN,10027.0,n,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,,,,,,,"125 St, 1 train",3149 BROADWAY Manhattan NY 10027,MN,10027.0,N,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,,,"[40.8144086, -73.95970059999999]", -73.95970059999999,40.8144086
85,85,85,86.0,"96th St, 1, 2, &3 train",700 AMSTERDAM AVE Manhattan NY 10025,10025.0,,Y,Y,Y; acceptable,Sally,MN,SA,52/129,52.0,129.0,63/129,63.0,129.0,SS,55/95,55.0,95.0,58/95,58.0,95,,,,,,,,86,"96th St, 1, 2, &3 train",700 AMSTERDAM AVE Manhattan NY 10025,MN,10025.0,y,n,,,,y,5.0,"palma, black don, connoisseur, le prive",,y,3.0,"dp sweet, dp purple, dp white sea",,n,,,,y,1.0,sweet,,n,,,,n,,,,y,1.0,gold,,n,,,,bluntville,3.0,"palma, piff, pink diva",,3.0,,"96th St, 1, 2, &3 train",700 AMSTERDAM AVE Manhattan NY 10025,MN,10025.0,Y,N,,,,Y,4.0,"PINK, PALMA(2), BLACK DON",,N,,,,N,,,,Y,1.0,,YELLOW/BLACK,N,,,,N,,,,Y,4.0,"VANILLA(2), PINK, PIFF",,N,,,,N,,,,,,"[40.7927353, -73.9715508]", -73.9715508,40.7927353
86,86,86,87.0,"96th St, 1, 2, &3 train",2482 BROADWAY Manhattan NY 10025,10025.0,,Y,Y,Y; good but covered,Sally ,MN,SA,25/120,25.0,120.0,33/120,33.0,120.0,SS,30/109,30.0,109.0,37/109,37.0,109,,,,,,,,87,"96th St, 1, 2, &3 train",2482 BROADWAY Manhattan NY 10025,MN,10025.0,y,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,y,3.0,"tropical, blue mystique",,n,,,,y,4.0,"black, green, blue",,"white owl, garcia y vega, al capone",8.0,"sweets, greens sweets, sweets","blue, green",,,"96th St, 1, 2, &3 train",2482 BROADWAY Manhattan NY 10025,MN,10025.0,Y,N,,,,N,,,,N,,,,N,,,,N,,,,Y,2.0,"GREEN SWEETS, SWISHER SWEETS",,Y,3.0,,"SILVER, BLUE, UNID",N,,,,Y,1.0,GREEN,,N,,,,,,"[40.7921859, -73.9732392]", -73.9732392,40.7921859
